tweet_id,tweet_username,tweet_text,id
1021794631267303427,RobertoLuiz7,"""O ‘santo’ @geraldoalckmin foi rejeitado pelo Josué Alencar pra vice @EricAmaral10, ele não está conseguindo vice, o Centrão está exigindo muito, ele abaixou as calças e vcs não podem mais criticar o Bolsonaro por causa de vice. Vida engraçada não?""",
1021794637256843265,beelzebulbasaur,"""@vitu_tv Lula livre.""",
1021794639576096773,DeputadoFederal,"""Lula e a criação de empregos!, , Com Lula, o Brasil será o país das oportunidades de novo. #OBrasilFelizDeNovo """,
1021794650045276162,joaoMcdo,"""@LulaOficial Tá usando drogas ô lula, tá doidão? Deve ser a proximidade do vaso sanitário com a cama""",
1021794653304233984,Marcosjdiniz,"""@meirelles @BlogdoNoblat Dilma, Lula, Alkimim, Doria, Ciro,FHC te elogiou??? Então tô fora ! #BOLSONARO2018""",
1021794654231162881,conexaorad,"""Festival Lula terá a liderança da dupla autora de ""Cálice"" - Gil e Chico , ,  """,
1021794657708204033,teiagarcia86,"""@mitastic @Doguinhho @PeloFimDoPT1 @apyus Será q nós bolsominios q somos fanáticos! O que tem de jornalistazinho meia-boca q fica falando de Bolsonaro SÓ pra aprecer, depois ficam de frescura Ainn o bolsominios isto... é aquilo aí aiai.#MulheresComBolsonaro #BolsonaroPresidente #Bolsonaro2018 .""",
1021794663370346496,mariaellaiza,"""ee lula tulog na""",
1021794671645917186,AMello26,"""@LourenzoAL @Tarik_mohad Levando em conta que Lula tá preso,sou humilde sou nordestina  e voto em Bolsonaro eu e minha família, e todos q conheço no meu estado...o choro é livre""",
1021794671994003456,otempo,"""Marina volta a atacar aliança Centrão e Alckmin e critica Bolsonaro #Eleições2018  """,
1021794685512232960,kayna_pedro,"""@sapinhoopres @fabiostassen @LourenzoAL @ElvisRo04398534 @LulaOficial @RedeGlobo Fernandinho Beira-Mar , acho que ele manja mais de economia e tem vários contatos no exterior., Já o goleiro Bruno ao contrário do lula não tinham provas contra ele foi preso injustamente !, #GoleiroLivre""",
1021794690495131649,willsandrini,"""@paulinhodino Mas o problema é criancinha fazendo gesto de arminha no colo do Bolsonaro..""",
1021794706307657728,Raissa10811657,"""#ProjectInfinity EU JURO,SE EU NÃO TIVER ESSE VÍDEO CLIPE AQUI E AGORA NA MINHA MESA,EU JURO QUE EU VOU NA CASA DE CADA UM ,SEQUESTRO E COLOCO BOLSONARO PRA VOCÊS OUVIREM""",
1021794707616276480,loveitavocado,"""se for real isso do bolsonaro liberar a caça eu vou ser obrigada a cometer uma atrocidade, , (na verdade eu n vou cometer atrocidade nenhuma pois estarei imersa num poço de tristeza e ódio)""",
1021794710262894592,ElUniversal,"""Bolsonaro se ubica como uno de los favoritos para las elecciones de #Brasil #EUVzla """,
1021794714704654338,LichtmanPimenta,"""Bolsonaro diz que vai tirar Brasil de conselho de Direitos Humanos da ONU """,
1021794716323602432,redtsantiago,""" #LULA #OBrasilFelizdeNovo #Haddad #Modernidade""",
1021794753426456576,davifeo,"""Ditador apoiado por Lula mata estudante brasileira - O Antagonista """,
1021794769410949121,JooBarb87297032,"""@LulaOficial Lula presidente""",
1021794771734544385,jornalino,"""LUZ NO FIM DO TÚNEL, O BRASIL TERÁ GOVERNO HONESTO JA...JA: , JA(IR) BOLSONARO E, JA(NAÍNA) PASCHOAL""",
1021794775169748997,MfncasstroMaria,"""@LulaOficial @gilbertogil Todos por Lula Livre""",
1021794775375257600,aa_it_br,"""@meirelles @jairbolsonaro Este SEU Brasil das maravilhas não existe meu caro. Aproveita e vai se foder com suas milhões de mentiras. Você pode ter um currículo excelente como economista, mas quem trabalhou com Lula, Dilma, Temer e Joesley não tem moral para NADA.""",
1021794778311282690,Flavi0Cardoso,"""Bolsonaro e Janaína Paschoal = Lord Voldemort e Dolores Umbridge.""",
1021794781586849792,Robiks,"""Pela primeira vez a imprensa não mostra Bolsonaro como monstro ou de forma negativa em foto. Parabéns Estadão por retratar nosso herói de forma altiva! """,
1021794787568103425,Flaviosouza2018,"""@rosa_vicentee @alexholzel @DaniloGentili A mulher não deve nem sabe de qual partido o Dória é. Impressionante nos dias de hoje com tanta informação ter militante defendendo o Lula.""",
1021794796397047809,phbem2018,"""@fdavillar @brdezoito @JanainaDoBrasil Tortura não é arma de guerra, Bolsonaro. É CRIME DE GUERRA! Você acha que para derrotar o inimigo vale tudo, certo? Talvez também seja favorável ao uso de armas químicas, como Saddam Hussein e Bashar al-Assad., """,
1021794808455720960,Val_Ce1,"""Site copia e distorce reportagem para favorecer Bolsonaro  #factchecking via @aosfatos""",
1021794814898188288,Helio__Chaves,"""O tempo acabou: com Lula preso, esquerda rachada perde rumo e o bonde da história """,
1021794817599307777,ComentaristaFra,"""@LourenzoAL @ElvisRo04398534 @LulaOficial @RedeGlobo Realidade: Bolsonaro com o dobro de votos do presidiário 9 dedos. Mais uma realidade: condenado em segunda instância não pode se eleger.""",
1021794825505529856,ewout,"""@miguelsvieira I firmly believe we wouldn't have Trump, Brexit or Bolsonaro if everybody would use it.""",
1021794833013268483,EuCobro,"""Geraldo Alckmin e a volta do IMPOSTO SINDICAL | É mole?:   via @YouTube  """,
1021794836641468419,Eduarda80318192,"""@JanainaDoBrasil .... não pelo que disse, mas pq o momento foi errado, a Dra ainda não é candidata, a festa não era sua, e o evento não era uma sala de aula, assim como os eleitores de Jair Bolsonaro não são seus alunos....""",
1021794845784989696,toni_nhoadv,"""@FernandoHoliday @MBLivre @mamaefalei @kimpkat @catracalivre Resumindo o Arthur deu uma pescoçada na mão do Ciro Gomes kkkkk""",
1021794847580205056,GuihGieseler,"""ou vc fuma maconha, ou vc apoia bolsonaro, os dois nao da seus demente""",
1021794848825901057,Samaronetjrn,"""Ditador apoiado por Lula mata estudante brasileira """,
1021794854815387648,karinacrwalter,"""lula 1 """,
1021794865770782720,filippelisboa,"""Ciro Gomes comete ato falho e diz que quer assumir o poder para salvar o PT da Justiça """,
1021794911820111872,G48ri3l12,"""Não só isso, mas uma das principais causas da maioria dos eleitores do Bolsa, é por causa da segurança pública, o povo está de saco cheio, basta Bolsonaro dizer: "" Bandido na cadeia."" Pra q ganhe milhões de votos, simples assim.""",
1021794915251048448,ConyNoConstanza,"""Lula full 1ra ley de la termodinamica 😍 la energia no se crea ni se destruye, ... solo se transforma @Lulaladelbarrio @polaberta @chiquillacabra #alosolte""",
1021794916865896449,Mr_KitsuneYouko,"""@LulaOficial Em nome, você tem a semelhança de Luís XIV, da França! Falta dar seu pescoço para a guilhotina, lularápio! #LulaNaCadeia 😂😂😂😂😂😂, (Lula é rei! Rei dos otários! Rei dos jumentos! Ancestral de Luís XIV!)""",
1021794928471547904,MrWesleyMS,"""Já pensou se o bolsonaro fala todas essas coisas pra conseguir voto mas na verdade é uma pessoa completamente diferente?""",
1021794930501414917,3213_4360,"""12ª Vara Federal do DF deve intimar Lula sobre remessa de ação  """,
1021794934712619014,BlogDoPim,"""Os pontos de divergência entre Bolsonaro e Janaina """,
1021794950361567233,UsielRios,"""O povo reconhece quem melhorou o Brasil e as condições de vida dos brasileiros. ""Lula é líder no Maranhão com 66% das intenções de voto """,
1021794956531429377,carlosgenio,"""Podemos mobilizar o Brasil  Cantando  os temas de campanha de Lula. e ter, o povo participando na mobilização pró Lula livre!""",
1021794960432136194,extratodomiolo,"""@sensacionalista @SOS_RIO E, além desse, ouve-se algum outro tipo de som numa convenção do Bolsonaro?""",
1021794987653165056,FernandoLulaPT,"""O fascista Jair Messias Bolsonaro quer liberação da caça! """,
1021794997962715137,clluiz,"""@LourenzoAL Não tem a opção: Pega todos e joga na lata de lixo? PS. Lula é prediário. Nem deveria estar ai.""",
1021795003662839808,nelodecarvalho,"""Quem votar em Bolsonaro não é gente, é bicho. Podem levar no Zoo.""",
1021795013007749122,marialgarrigos,"""Tribunal de La Haya Reconoce a Lula da Silva Como Preso político Y solicita su inmediata liberación """,
1021795024407805953,deltaservtec,"""Ciro Gomes comete ato falho e diz que quer assumir o poder para salvar o PT da Justiça """,
1021795027360641025,karinacrwalter,"""lula 2 """,
1021795041155723269,rafamatos17,"""Gostei de um vídeo do @YouTube  Quem vai soltar Lula e quem vai ficar com Bolsonaro?! Aniversário do One""",
1021795054678159362,gialm1,"""@Francischini_ Não entrega antes se não deixam ele por último e já cortam as ideias , Bolsonaro fará uma surpresa!!!!!""",
1021795062928367618,LiberaPensado,"""Mulheres trabalhadoras de todo país se encontram na Vigília Lula Livre, em Curitiba  """,
1021795065172295682,amarildostudio,"""POR QUÊ NÃO DENUNCIOU? Ciro diz que por 16 anos ajudou Lula e Dilma e que sabia de ""coisas erradas"". """,
1021795072805928960,pedropsmachado,"""Deletei uns tweet pq todo mundo que curtia o nome era Fulano Lula da Silva, Deus me livre dessa galera""",
1021795086231916547,biobio,""".@ominamipascual explicó que a la expresidenta le complicaría el horario de visita, debido que sólo podría ser los jueves en la tarde, , """,
1021795112718938114,BavarescoJr,"""Ditador apoiado por Lula mata estudante brasileira """,
1021795117034860544,blogrobsonpires,"""O “Dia do Volto” para Lula """,
1021795142980829184,carlos_mcastro,"""Continuam os posicionamentos. """,
1021795146273316869,eusouaquelequee,"""@BlogdoNoblat Ibope: Bolsonaro perde para qualquer um no segundo turno""",
1021795161926459392,isaqmoreira,"""@LourenzoAL @GABRELPlNHElRO Como que a barrinha do lula tá maior kkkkkkkkkk """,
1021795162840858624,Legion_74,"""@el_dinamo @AlbertoMayol Mandela al mismo nivel del corrupto de Lula es como poner a Einstein al nivel del payaso @motuda ...@AlbertoMayol tu si estas al nivel de @labeasanchez hablando guevadas tal para cual""",
1021795174244970496,Great_suffering,"""@Mr_KitsuneYouko Que bosta, o estagiário do lula deixou ele ainda mais ridículo""",
